Bob Dylan,Beatrice Stone
Frank Straßburger,Erika Straßburger
Jonáš Ledecký,Zuzana Ledecká
Himiko Paganotti,Naoko Paganotti
Simon Whistler,Jill Furse
Nigel Davison,Rosamond Edith Lilian Leeds
Pantaleón de Zamacois y Urrutia,Juana de Urrutia y Mendiola
Mia Hesse-Bernoulli,Emilie Gengenbach
Francisco de Paula Pedro de Zamacois y Urrutia,Juana de Urrutia y Mendiola
DJ LYTMAS,Rose Owino
David Plunket Greene,Gwendolen Parry
Lisa-Kaindé Diaz,Maya Dagnino
Olivebelle Hamon,Georgia Perkins
Naomi Diaz,Maya Dagnino
Cäcilie von Eskeles,Miriam Wulff
Chelsea Tyler,Teresa Barrick
George Booth,Dorothy St. John
Patrick Newman,Gretchen Preece
Mark Gilmour,Sylvia Gilmour
David Coventry,Frances Winifred Clarke
Mare Haab,Valve Haab
Guillermo Bárcenas Iglesias,Rosalía Iglesias
Kaido Fridolin,Anna Fridolin
Poppy Corby-Tuech,Catherine Campbell
Martin Lascelles,Elizabeth Colvin
Nicholas Naylor-Leyland,Dita Naylor-Leyland
Lord Henry Taylour,Susan Vandervell
Maximillian Lascelles,Alexandra Morton
Tewa Lascelles,Lori Susan Lee
Blue Newman,Poppie Harris
Castor Hetfield,Francesca Hetfield
Wim Witteman,Johanna Cecilia Andriessen
Francis Bamberger,Lore Wagner
Cali Hetfield,Francesca Hetfield
Damian Iorio,Diana Cummings
Lady Flora Curzon,Elizabeth Curzon, Countess Howe
Armando Tavera,Susana Tavera Vargas
Lady Sophie Nevill,Venetia Nevill, Marchioness of Abergavenny
Lady Anna Curzon,Elizabeth Curzon, Countess Howe
Emily Horner,Sara Horner
Ada Bercovici,Miriam Bercovici
Alice Newman,Gretchen Preece
Ruby Wright,Lal Hitchcock
Ricardo Tavera,Susana Tavera Vargas
Becky Horner,Sara Horner
Ethan Gold,Melissa Dilworth Gold
Jordan Frye,Paula Frye
Josef Richter,Elisabeth Richter
Lydon Whibley,Ariana Cooper
Lilias Mackinnon,Theodora Thompson
Nicholas Collins,Orianne Cevey
Drake Glover,Michelle White
James Bradtl,Emily Horner
Legend Glover,Michelle White
Zooey Holland,Amber Sasse
Lucas Daniels,Kathleen Treado Daniels
Nina Kummer,Beate Düber
Zion Broadus,Jessica Kyzer
Mona Anna Clare McCann,Annie Bellew McCann
Ben Daniels,Kathleen Treado Daniels
Vladimir Pocorschi,Doina Matei
Louis Goormachtigh,Natalie Dieryck
Jared Urie,Sarah Urie
Grace Sherrington,Grace Johnson
Maude Latour,Abby Latour
Théodore de Berckheim,Élisabeth Lévisse de Montigny de Jaucourt
Anthony Silvestrini,Maria Silvestrini
Liam Bouvier,Isabelle Louis XVI
Patrick Ruymen,Frieda Pey
Leonard Podolak,Ava Kobrinsky
Miloš Pahor,Minka Pahor
Geneviève Ryan Martel,Thérèse Ryan
Casey Harris,Margaret Wakeley
Sabine Aubert,Nicole Aubert
Jonas Rocket DeLonge,Jennifer DeLonge
Sam Harris,Margaret Wakeley
Devin Scherr,Sana Yu
Krzysztof Kozber,Barbara Kozber
Mary Louise Conan Doyle,Louisa Hawkins
Diana Newman,Krystyna Newman
Peter Ury,Hedwig Ury
Xie Jinglan,Yue Bichun
Bobby Grossman,Jennifer Goldsmith
Lotta Kummer,Beate Düber
Till Kummer,Beate Düber
Benjamin Asher,Carrie Goldsmith
Makis Tsamkosoglou,Anna Tsamkosoglou
Meli G,Alma Delia Perez
Sadoc Vazkez,Beatriz Pérez Reyes
