Bob Dylan,Beatrice Stone
Joseph Conrad,Ewa Korzeniewska
Keanu Reeves,Patricia Taylor
Giosuè Carducci,Ildegonda Celli
Thomas Bernhard,Herta Fabjan
Richard Feynman,Lucille Feynman
John Henry Newman,Jemima Fourdrinier
Ric Flair,Kay Fliehr
Jack London,Flora London
Nadine Gordimer,Hannah Gordimer
Hugh Laurie,Patricia Laidlaw
H. C. Artmann,Maria Artmann
Benjamin Thompson,Ruth Thompson
Ralph Waldo Emerson,Ruth Haskins
Roger Nimier,Christiane Roussel
Fernando de Buen y Lozano,Rafaela Lozano
William Wordsworth,Ann Cookson
Blake Edwards,Lillian Virginia McEdward
Oprah Winfrey,Vernita Lee Winfrey
Ales Adamovich,Hanna Tychyna
Annette von Droste-Hülshoff,Therese Luise von Droste-Hülshoff
Jurij A. Treguboff,Sophia von der Osten-Sacken
John Kasich,Anne Kasich
Peter Scholl-Latour,Mathilde Zerline Nußbaum
Annette Kolb,Sophie Kolb
Eduardo Mendoza Garriga,Cristina Garriga Alemany
Angelika Schrobsdorff,Else Schrobsdorff
Emil Frommel,Henriette Frommel
Ernst Zitelmann,Ida Edwine Zitelmann
Peter Hammerschlag,Hedwig Hammerschlag
Joseph von Eichendorff,Karoline von Eichendorff
Kate Bosse-Griffiths,Käthe Bosse
Andreas Gryphius,Anna Greif
Friederike Mayröcker,Friederike Mayröcker
Ilse Aichinger,Berta Aichinger
Michel Houellebecq,Lucie Ceccaldi
Mel Brooks,Kate Kaminsky
Mary Wollstonecraft,Elizabeth Dixon
Tom Seidmann-Freud,Maria Freud
Wolfgang Foerster,Angelika Lübbert
Mickey Rooney,Nellie W. Carter
Catharina Elisabeth Goethe,Anna Margaretha Justina Textor
Johann Osiander,Margarethe Entringer
Emma Orczy,Emma, Gräfin Wass de Czege
Erasmus Darwin,Elizabeth Hill
Francesca Caccini,Lucia Caccini
Ruth Rendell,Ebba Elise Kruse
Harriet Martineau,Elizabeth Rankin
Priscilla Presley,Ann Wagner
Elizabeth Blackwell,Hannah Blackwell
Mercè Rodoreda,Montserrat Gurguí i Guàrdia
Andre Norton,Bertha Stemm Norton
Mary Andrea Garcia,Mary Feilding
Barbara Cartland,Mary Hamilton Scobell
Hiram Bingham III,Clara Brewster
H. Rider Haggard,Ella Doveton
George Santayana,Josefina Borrás
Maria Edgeworth,Anna Maria Edgeworth
Naomi Wolf,Deborah Goleman Wolf
Douglas Hyde,Elizabeth Oldfield
Mona Simpson,Joanne Carole Schieble Simpson
Ellen Terry,Sarah Ballard
Anne Bradstreet,Dorothy Yorke
Lady Randolph Churchill,Clarissa Hall
Noah Webster,Mercy Steele
Geraldine Farrar,Henrietta Barnes Farrar
Joan Rivers,Beatrice Grushman Molinsky
Augusta, Lady Gregory,Frances Barry
Rose Cleveland,Anne Neal
Dylan Thomas,Florence Hannah Williams
Martin V,Caterina Conti
René Goscinny,Anna Goscinny
Mabel Brookes,Alice Mabel Emmerton
Maximilian Kolbe,Marianna Dąbrowska Kolbe
Yelü Chucai,Yang Shi
Friedrich Torberg,Terezie Kantorová
Christian Gryphius,Rosina Deutschländer
Andy Razaf,Jennie Waller
Henry Wadsworth Longfellow,Zilpah Wadsworth
Friedrich Gottlieb Klopstock,Anna Maria Klopstock
Anna Reuss of Köstritz,Karoline of Stolberg-Wernigerode
Otto Heinrich Jaeger,Wilhelmine Ulrike Jäger
Yuan Mei,Zhang Shi
Stephen Henighan,Diana Collett
Sigmund Widmer,Bertha Gizella Widmer
Sven Hedin,Anna Sofia Carolina Berlin
Edmond Rostand,Angèle Gayet
Joseph Priestley,Mary Swift
Jorge Semprún,Susana Maura Gamazo
Joseph Dalton Hooker,Maria Turner
William Jennings Bryan,Mariah Jennings Bryan
Johannes V. Jensen,Marie Kirstine Jensen
Tony Curtis,Helen Klein
David Brewster,Margaret Key
Stephen Poliakoff,Ina Montagu
William Makepeace Thackeray,Anne Becher
Charles Gavan Duffy,Anne Gavan
Samuel Egerton Brydges,Jemima Egerton
H. P. Lovecraft,Sarah Susan Phillips Lovecraft
Nick Clegg,Eulalia Hermance van den Wall Bake
Joshua Reynolds,Theophila Potter
William Rees-Mogg,Beatrice Warren
Zhang Juzheng,Zhao Shi
Margaret Sharp, Baroness Sharp of Guildford,Sydney Mary Ellen White
David Ogilvy,Dorothy Blew Ogilvy
P. G. Wodehouse,Eleanor Deane
Joseph Addison,Jane Gulston
William Wilberforce,Elizabeth Bird
Theo van Gogh,Anneke van Gogh
Sergey Mikhalkov,Olga Glebova
William Thomson, 1st Baron Kelvin,Margaret Gardiner
Frido Mann,Gret Moser
Lothar Vosseler,Erika Vosseler
Rupert Everett,Sara MacLean
William Penn,Margaret Jasper
Richard Francis Burton,Martha Baker
William Hazlitt,Sarah Loftus
Wilkie Collins,Harriet Geddes
Urban VIII,Camilla Barbadori
Emmeline Pankhurst,Sophia Jane Craine
George Eliot,Christiana Pearson
Amanda Peet,Penny Peet
Alanis Morissette,Georgia Feuerstein
Adam Sandler,Judy Sandler
David Lloyd George,Elizabeth Lloyd
William Somerset Maugham,Edith Mary Snell
Mark Hamill,Virginia Hamill
Charlotte Salomon,Franziska Salomon
Felix Lichnowsky,Eleonora Zichy
John Donne,Elizabeth Heywood
Charles Napier,Christian Hamilton
John Dryden,Mary Pickering
Norman Mailer,Fanny Schneider
Washington Irving,Sarah Sanders
Cole Porter,Kate Porter
Adam Ferguson,Mary Gordon
Samuel Johnson,Sarah Ford
David Attenborough,Mary Clegg
E. M. Forster,Alice Clara Whichelo
William Godwin,unknown Hull
William Tecumseh Sherman,Mary Hoyt
Reinhold Messner,Maria Messner
John Bright,Martha Wood
Madeleine Albright,Anna Spiegelová
William Roper,Jane Fyneux
Elizabeth Barrett Browning,Mary Graham-Clarke
Flinders Petrie,Anne Flinders
Vincent Price,Marguerite Wilcox
Margaret Mead,Emily Fogg
Ted Kaczynski,Wanda Dombek
Ludvig Holberg,Karen Lem
Robert Southey,Margaret Hill
Alphonse Daudet,Adeline Daudet
Isabel Burton,Eliza Gerard
Álvaro Vargas Llosa,Patricia Llosa Urquidi
Henry Drummond,Anne Dundas
Li Fang,Xie Shi
Henry A. Wallace,May B. Wallace
William Allingham,Margaret Crawford
Eleanor Farjeon,Margaret Jefferson
Nigella Lawson,Vanessa Salmon
Raquel Welch,Josephine Sarah Hall
Elizabeth Cleghorn Gaskell,Elizabeth Holland
Debbie Reynolds,Maxine Reynolds
Margit Sandemo,Elsa Underdal
Víctor Jara,Amanda Martínez
John James Audubon,Jeanne Rabine
Natalie Curtis,Augusta Lawler Stacey Curtis
Josemaría Escrivá,María de los Dolores Albás y Blanc
Zelda Fitzgerald,Minnie Buckner Machen
Clara Barton,Sarah Stone
P. T. Barnum,Irene Taylor
Karl Gustav Schwetschke,Johanna Sophia Henriette Christiana Gebauer
Seth Rogen,Sandy Rogen
Anne Baxter,Catherine Dorothy Wright
Álvar Núñez Cabeza de Vaca,Teresa Cabeza de Vaca y de Zurita
Jewel,Lenedra Carroll
Élie Faure,Zéline Reclus
Jennifer Lynch,Peggy Reavey
Charlotte Guest,Charlotte Layard
Kazuo Ishiguro,Shizuko Ishiguro
Henry Porter,Anne Victoria Seymour
Paul Meurice,Françoise Giroux
Basil Hall,Helena Hall
Berta Ruck,Elizabeth Eleanor Ruck
Katie Boyle,Dorothy Kate Ramsden
Christopher Isherwood,Kathleen Bradshaw-Isherwood
Louise Lévêque de Vilmorin,Marie Mélanie de Gaufridy de Dortan
Randi Zuckerberg,Karen Kempner
Jeffrey Archer,Lola Cook
Salmaan Taseer,Bilqees Taseer
James Harris,Harriet Dashwood
Kip S. Thorne,Alison Comish Thorne
Roy Jenkins,Hattie Harris
Michael Foot,Eva Mackintosh
Max Aitken, 1st Baron Beaverbrook,Jane Noble
Sidney Webb,Elizabeth Mary Stacey
Eduardo De Filippo,Luisa De Filippo
Henry St John, 1st Viscount Bolingbroke,Mary Rich
Charles Hanbury Williams,Bridget Ayscough
John Campbell, 1st Baron Campbell,Magdalene Hallyburton
Grantley Berkeley,Mary Cole
John Buchan,Helen Jane Masterson
Edgar Vincent, 1st Viscount D'Abernon,Maria Copley Young
Ian Gilmour, Baron Gilmour of Craigmillar,Victoria Cadogan
Roger North,Anne Montagu
F. E. Smith, 1st Earl of Birkenhead,Elizabeth Taylor
William Eden, 1st Baron Auckland,Mary Davison
Ouyang Xiu,Zheng Shi
Reginald Brett, 2nd Viscount Esher,Eugenie Mayer
Francis Younghusband,Clara Younghusband
Jean d'Ormesson,Marie Anisson du Perron
Bertus Aafjes,Nicolasina Aafjes
Elizabeth Fry,Catherine Bell
Marianne North,Janet Marjoribanks
Laurence Oliphant,Maria Campbell
Lucretia Mott,Anna Folger
Margery Allingham,Emmie Allingham
Ellen G. White,Eunice Harmon
Chaim Herzog,Sarah Herzog
Victoria Benedictsson,Helena Sofia Bruzelius
George Egerton,Elizabeth George
Thomas Wyatt,Anne Skinner
Charles M. Schulz,Dena Schulz
Christopher Anstey,Mary Thompson
Frederic Farrar,Caroline Turner
Marianne Moore,Mary Warner Moore
Émile Étienne Guimet,Zélie Bidault
Annie Duke,Rhoda S. Lederer
Isabelle Eberhardt,Natalia Nicolaievna Eberhardt
Margaret Mahy,May Mahy
Hester Thrale,Hester Maria Cotton
Thomas Riley Marshall,Martha Patterson
James Freeman Clarke,Rebecca Parker Hull
Johan Galtung,Helga Holmboe
John Dos Passos,Lucy Addison Sprigg Dos Passos
Lewis H. Morgan,Harriet Morgan
Daniel O'Connell,Catherine O'Mullane
Quintin Craufurd,Ann Robinson
Edward Eastwick,Lucy King
Timothy Dwight IV,Mary Edwards
Roger Casement,Anne Jephson
Anna Cora Mowatt,Eliza Ogden
Thomas Balogh, Baron Balogh,Eva Levy
Richard Hughes,Louisa Grace Warren
Henry Labouchère,Mary Dupré
Arthur Tedder, 1st Baron Tedder,Emily Charlotte Bryson
Sir William Stirling-Maxwell, 9th Baronet,Elizabeth Maxwell
Dick Taverne,Louise Victorine Koch
William Beckford,Maria Hamilton
Eugène Despois,Eugénie Despois
Augustine Birrell,Harriet Jane Grey
Henry Grattan,unknown daughter Marley
Lionel Pigot Johnson,Catherine Delicia Walters
Arthur Penrhyn Stanley,Catherine Leycester
James Boswell,Euphemia Erskine
Adam Lindsay Gordon,Harriet Elizabeth Gordon
Vanna Bonta,Maria Luisa Ugolini Bonta
William S. Baring-Gould,Harriet R. Stuart
Booker T. Washington,Nataly Anette
Oliver Wendell Holmes,Sarah Wendell
Burl Ives,Dellie White
John Lindley,Mary Moore
Wang Anshi,Wu Shi
Oscar Hammerstein II,Alice Nimmo
E. B. White,Jessica Wallace Hart
Olaf Stapledon,Emmeline Miller
Alex Jones,Carol Jones
William Cowper,Anne Don
Michael Morris, 3rd Baron Killanin,Dora Maryan Hall
Edmund Ironside, 1st Baron Ironside,Emma Maria Richards
Erik Gustaf Geijer,Ulrica Magdalena Geisler
Hart Crane,Grace Edna Hart
Stanisław Żółkiewski,Zofia Lipska
Jeanne Julie Éléonore de Lespinasse,Julie Claude Hilaire d'Albon
Robert Barclay,Katharine Gordon
Harriet Shaw Weaver,Mary Berry Wright
Lyman Beecher,Esther Lyman
Charles Willson Peale,Margaret Triggs Peale
Andrew Barton Paterson,Rose Isabella Paterson
Erazim Kohák,Zdislava Procházková
Katoucha Niane,Hadja Aissatou Diallo
Philip Henry Gosse,Hannah Best
Sir Charles Dilke, 2nd Baronet,Mary Chatfield
Archibald Tait,Susan Campbell
Michael Dummett,Mabel Iris Eardley-Wilmot
John Laird, Baron Laird,Margaret Dunn
David Dixon Porter,Evelina Anderson
Francisco Manuel de Melo,María de Toledo y Mazuelos
Gianni Puccini,Alessandra Simoncini
George Savile, 1st Marquess of Halifax,Anne Coventry
George Campbell, 8th Duke of Argyll,Joan Glassel
Anthony Ashley Cooper, 1st Earl of Shaftesbury,Anne Ashley
Roderick Murchison, 1st Baronet,Barbara Mackenzie
John Evelyn,Eleanor Stansfield
Lina Sandell,Fredrica Engstrand
António Vieira,Maria de Azevedo
Sarah Trimmer,Sarah Kirby
James Bryce, 1st Viscount Bryce,Margaret Young
Robert Crewe-Milnes, 1st Marquess of Crewe,Annabella Hungerford Crewe
Richard Chartres,Charlotte Day
Robert Vansittart, 1st Baron Vansittart,Susan Alice Blane
Ain Kaalep,Magdalena Kaalep
Gavin Douglas,Elizabeth Boyd
Adrian Fortescue,Elizabeth Boleyn
Robert Stawell Ball,Amelia Gresley Hellicar
Samuel Baker,Mary Dobson
John Lighton Synge,Ellen Frances Price
Quan Deyu,Li Shi
Paul Reiser,Helen H Reiser
Georgia Byng,Jennifer May
Santa Montefiore,Patricia Dawson
Anna Brassey, Baroness Brassey,Elizabeth Harriet Burnett
Wolfe Tone,Margaret Lambert
John Nelson Darby,Anne Vaughan
Lalla Ward,Marjorie Banks
Esther Freud,Bernadine Coverley
Louise Bertin,Geneviève-Aimée-Victoire Boutard
Maria Aurora von Königsmarck,Maria Kristina Wrangel
Victoire de Donnissan de La Rochejaquelein,Marie-Françoise de Durfort-Civrac
Rhoda Broughton,Jane Bennett
John Sherman,Mary Hoyt
Dorothy Wordsworth,Ann Cookson
Cotton Mather,Maria Cotton
David Frost,Maude Evelyn Aldrich
Clare Boothe Luce,Anna Snyder
John Collier,Isabella Rose Rose
Kate O'Mara,Hazel Bainbridge
Donald Adamson,Hannah Mary Booth
Marguerite Gardiner, Countess of Blessington,Ellen Sheehy
Jocelyn Brando,Dodie Brando
Sharman Macdonald,Janet Rewat
Sophia Jex-Blake,Maria Emily Cubitt
Lord Alfred Douglas,Sibyl Montgomery
Gavin Newsom,Tessa Newsom
Cedella Booker,Albertha Malcolm
Charles Berlitz,Millicent Daisy Frambach
Rosalía de Castro,María Teresa da Cruz Castro
Frederick Marryat,Charlotte Marryat
Max Beerbohm,Eliza Draper
William Cullen,Elizabeth Robertson
Li Qingzhao,Wang Shi
Frances Power Cobbe,Frances Conway
Andrew Carnegie,Margaret Morrison Carnegie
Władysław Syrokomla,Wiktoria Złotkowska
José Antonio Labordeta,Sara Subías Bardají
Sarah Fielding,Sarah Gould
Celia Imrie,Diana Elizabeth Cator
Conan O'Brien,Ruth Reardon O'Brien
Bear Grylls,Sarah Ford
Gifford Pinchot,Mary Jane Eno
Florence Marryat,Catherine Shairp
Natalya Varley,Ariadna Sergeevna Seniavina
Ari Behn,Marianne Solberg
André Bjerke,Karin Bjerke
Francis Turner Palgrave,Dawson Turner
James Smith Bush,Harriet Smith
Anna Chennault,Liao Xiangci
Anne Sylvestre,Alice Litolff
Charles Burney,Ann Cooper
Ejner Johansson,Margrethe Hansine Johansson
Oscar Straus,Sara Straus
Ethan Allen,Mary Baker
George Sylvester Viereck,Laura Viereck
Joseph Medill Patterson,Elinor Medill Patterson
David Porter,Rebecca Henry
Charles Maturin,Fidelia Watson
David Belasco,Reina Nunes Martinez
Gilbert Murray,Agnes Ann Murray
Daisy Fellowes,Isabelle Singer
Patrick French,Lavinia Burke
Clare Frewen Sheridan,Clarita Jerome
Iris Origo,Lady Sybil Cuffe
Karin Lannby,Lilly Lannby
Auguste von Littrow,Johanna von Bischoff
Elizabeth Pakenham, Countess of Longford,Katherine Chamberlain
Anne Finch, Countess of Winchilsea,Anne Haslewood
Sabine Lepsius,Franziska Liebreich
Gertrude Elizabeth Blood,Mary Amy Fergusson
Mingote,Carmen Barrachina Esquiu
John Watson Foster,Eleanor Johnson
Anna-Clara Tidholm,Märta Zetterström
Edward Goldsmith,Marcelle Mouiller
Marjorie Bowen,Josephine Campbell
Constancia de la Mora,Constancia Maura Gamazo
Thit Jensen,Marie Kirstine Jensen
Violet Jacob,Catherine Jones
Justine Lévy,Isabelle Doutreluingne
Richard Price,Catherine Richards
Anne Hunter,Mary Hutchinson
Edward Lucie-Smith,Mary Frances Lushington
Patricio de la Escosura,Ana Morrogh Wolcott
Ferdinand Peroutka,Leontina Peroutková
Anne Marsh-Caldwell,Elizabeth Stamford
Wen Tianxiang,Zeng Deci
Antoine Hamilton,Lady Mary Butler
James Forman,Octavia Allen
Jean de La Varende,Laure Fleuriot de Langle
Jules Vallès,Julie Pascal
Maimu Berg,Elviine Seping
William Drummond of Hawthornden,Susannah Fowler
Jonathan Raban,Monica Sandison
Archibald Maule Ramsay,Sophia Thomas
Archibald MacLeish,Martha Hillard MacLeish
Francis Quarles,Joanne Dalton
Miklós Jósika,Eleonore, Gräfin Lázár de Szárhegy
Péter Szondi,Ilona Szondi
Peppino De Filippo,Luisa De Filippo
Charles Allston Collins,Harriet Geddes
Thomas Sackville, 1st Earl of Dorset,Winifred Brydges
Jacqueline E. van der Waals,Anna Magdalena Smit
Walter Lord,Henriette Hoffman
Jean Juvénal des Ursins,Michelle de Vitry
Song Lian,Chen Xianshi
Arthur Marx,Ruth Johnson
Li Dongyang,Liu Shi
Indrek Hargla,Varje Sootak
Edmond de la Fontaine,Joséphine Francq
John Winthrop,Anne Browne
Andrzej Bohomolec,Karolina Sienkiewicz
Tomi Ungerer,Alice Essler
George Keppel, 6th Earl of Albemarle,Elizabeth Southwell
William Beach Lawrence,Cornelia Beach
Matthew Henry,Katherine Henry
James Branch Cabell,Anne Harris Cabell
Janet Neel Cohen, Baroness Cohen of Pimlico,Mary Isabel Budge
James Kent,Hannah Kent
Ernest Daudet,Adeline Daudet
George Perkins Marsh,Susan Perkins
Tucker Carlson,Lisa McNear
Henry Leavitt Ellsworth,Abigail Wolcott Ellsworth
Noel Annan, Baron Annan,Fannie Mildred Quinn
Ben Carson,Sonya Carson
Ian Roderick Macneil,Kathleen Metcalf
Richard Castle,Martha Rodgers
William Pynchon,Frances Brett
Jane Gordon, Duchess of Gordon,Magdalen Blair
Aleksander Wat,Rosalia Chwat
Philippe Labro,Henriette Labro
Basil Hall Chamberlain,Eliza Jane Hall
Balder Olden,Rosa Olden
Axel Campenhausen,Dorothee von Campenhausen
Thomas Arnold,Martha Delafield
Benjamin N. Cardozo,Rebecca Washington Nathan Cardozo
Andrew Caldecott,Isobel Mary Johnson
Richard Payne Knight,Ursula Nash
Henry St. John Thackeray,Louisa Irvine
Mountstuart Elphinstone,Anne Ruthven
Harold Hongju Koh,Hesung Chun Koh
József Dessewffy,Anna, Baronesse Vécsey
James Harrington,Jane Samwell
Nicholas Kristof,Jane Shakespeare McWilliams
Phillips Brooks,Mary Ann Phillips
Jaime Gil de Biedma,María Luisa Alba y Delibes
Janos Nyiri,Julia Spitz
Frederick Goddard Tuckerman,Sophia Tuckerman
Charles Howard, 10th Duke of Norfolk,Mary Aylward
David Viñas,Esther Porter
Bo Giertz,Anna Ericsson
George Colman the Elder,Mary Gumley
William Cameron Forbes,Edith Emerson Forbes
Torben Ulrich,Ulla Ulrich
Louis Geoffroy,Louise Angélique Champigny
August von Rode,Sophie Eleonore Söldner
Tang Xianzu,Wu Shi
Thomas Bulfinch,Hannah Apthorp Bulfinch
Aubrey Thomas de Vere,Mary Rice
Paulus Manutius,Maria Torresano
Robert Bridges,Harriett Elizabeth Affleck
Sir Richard Fanshawe, 1st Baronet,Elizabeth Smythe
George du Maurier,Ellen Clarke
Philip Thicknesse,Joyce Blencowe
William Dalrymple,Lady Anne-Louise Keppel
M. R. James,Mary Emily Horton
Richard Lovell Edgeworth,Jane Lovell
Frederick Denison Maurice,Priscilla Hurry
Robert Lowell,Charlotte Winslow
Frederick Copleston,Norah Margaret Little
Edward Gorey,Helen Dunham Garvey
Anne Nivat,Lucile Nivat
Robert Demachy,Zoé Girod de l'Ain
Hartley Coleridge,Sarah Fricker
Fei Xiaotong,Yang Renlan
William Gillette,Eliza Daggett Hooker Gillette
Caroline Leigh Gascoigne,Emma Leigh
Charles Sturridge,Alyson Patricia Burke
Charles Lock Eastlake,Mary Pierce
Charles Sorley,Janetta Colquhoun Smith
Hugo Verriest,Caroline Florentina Vanackere
Georgina Bloomberg,Susan Brown
Charles Braibant,Marie Edith Tournier
Charles Augustus Murray,Lady Susan Hamilton
William Robertson,Eleanor Pitcairn
Diana Athill,Alice Katharine Carr
Yang Pu,Zhan Shi
Claudio Naranjo,Julia Cohen
Plum Sykes,Valerie Goad
Pedro Pidal,Ignacia Bernaldo de Quirós y González de Cienfuegos
Dorothy Parks Benjamin,Ida Crane
Thomas North,Alice Squire
Violet Oakley,Cornelia Swain Oakley
William Bradford,Alice Hanson
Marina Warner,Emilia Terzulli
Sir Fitzroy MacLean, 1st Baronet,Gladys Frances Elaine Royle
Hermann Kienzl,Nina Kienzl
Ernest William Hornung,Harriet Armstrong
Frederick William Faber,Betty Atkinson
Richard Maitland,Martha Seton
Owen Wister,Sarah Butler
Elisabeth Freundlich,Olga Freundlich
Leonid Tsypkin,Vera Polyak
Jacques de Bourbon-Busset,Adolphine Henriette Anne Gabrielle Guillemette de Colbert-Chabanais
Jonathon Porritt,Kathleen Mary Peck
Paul Chack,Marie Scalini
Noel Malcolm,Iris Lilian Knowles
Edward Marjoribanks,Elizabeth Brown
Edward Martyn,Annie Mary Josephine Smith
Edward St Aubyn,Lorna Mackintosh
Juanita Carberry,Maiä Ivy Anderson
Edward Russell, 2nd Baron Russell of Liverpool,Mabel Suffolk Younge
Peter Kreisky,Vera Alice Kreisky
William Henry Sleeman,Mary Blatchford
Stephen Vincent Benét,Frances Rose Benét
Eliza Marian Butler,Catherine Elizabeth Barraclough
Elizabeth Hawkins-Whitshed,Anne Alicia Handcock
William Wetmore Story,Sarah Waldo Wetmore Story
Francis Parkman,Caroline Parkman
George Grote,Selina Mary Peckwell
William Ellery Channing,Lucy Ellery
Theodore Dwight,Mary Edwards
Théodore Hersart de la Villemarqué,Marie-Ursule Feydeau de Vaugien
Henry De Vere Stacpoole,Charlotte Augusta Mountjoy
Olof Lagercrantz,Agnes Hamilton
Nicholas Rowe,Elizabeth Edwards
John Armstrong Jr.,Rebecca Lyon Armstrong
Fabrice Roger Lacan,Caroline Roger-Lacan
Grace Norton,Catherine Eliot
Terence MacSwiney,Mary Wilkinson
John Colenso,Mary Ann Blackmore
Margot Asquith,Emma Winsloe
Francis Hopkinson,Mary Johnson
Edward Somerset, 2nd Marquess of Worcester,Anne Russell
Richard Cumberland,Johanna Bentley
Francis Chichester,Emily Annie Page
Frederick Gustavus Burnaby,Harriet Villebois
Frantz Funck-Brentano,Sophie Brentano
Keith Feiling,Joan Barbara Hawkins
Francis Wyndham,Violet Lutetia Leverson
Felicia Skene,Jane Forbes
Ferdinand Stosch,Louise Hedwig Stosch
Peter Egerton-Warburton,Emma Croxton
Geoffrey Fenton,Cicely Beaumont
G. R. S. Mead,Mary Stow
Georgiana McCrae,Jane Graham
Frederick Smith, 3rd Earl of Birkenhead,Sheila Berry
Michael Dobbs,Eileen Saunders
Henry Keppel,Elizabeth Southwell
James Martineau,Elizabeth Rankin
Hamilton Fish III,Emily M. Mann
Mela Spira,Catharina Hartwig
Grace Kennedy,Robina Vans Agnew
Nicola Caracciolo,Margaret Clarke
William Gifford Palgrave,Dawson Turner
John Whitmore,Ellis Christense Johnsen
Julian Fane,Diana Lister
John Wise,Mary Thompson
John Watts de Peyster,Mary Justina Watts
Joseph Santley,Laurene Santley
John Rothenstein,Alice Mary Knewstub
John Malcolm,Margaret Pasley
Esther Lucie Domeier,Niesel Gad
John Gillespie Magee, Jr.,Faith Emmeline Backhouse
Otto Prechtler,Barbara Prechtler
Josiah Quincy III,Abigail Phillips
Ian McColl, Baron McColl of Dulwich,Winifred E. Murphy
Wolfgang Schumann,Else Avenarius
Marie von Bunsen,Emma von Bunsen
Jacobo Fitz-James Stuart, 17th Duke of Alba,María del Rosario Falcó y Osorio
Sina Walden,Ellen Walden
Helen Zimmern,Bernice Zimmern
Robin Renwick, Baron Renwick of Clifton,Clarice Henderson
Hedwig Weiss,Anna Westphal
Marie Chaix,Alice Litolff
W. R. van Hoëvell,Emerentia Luthera Isabella van der Capellen
Margaret Neilson Armstrong,Helen Armstrong
Nina Malinovski,Ruth Malinowski
R. B. Braithwaite,Janet Morland
Molly Lefebure,Elizabeth Cox
Karl Reinecke-Altenau,Dorette Reinecke
Karl, Prince of Isenburg-Büdingen-Birstein,Princess Maria of Löwenstein-Wertheim-Rosenberg
Gustaaf Verriest,Caroline Florentina Vanackere
Sara Blædel,Annegrethe Nissen
Toril Brekke,Bjørg Brekke
Ingeborg Refling Hagen,Johanne Hagen
Don Francisco,Annie Blumenfeld
Luo Qinshun,Zeng Shi
Edna Healey,Rose Crook
Leonie Meyerhof,Carolina Meyerhof
Hester Chapone,Hester Thomas
Lü Bicheng,Yan Shiyu
Lothian Nicholson,Ann Elizabeth Smith
Joseph Albert Alberdingk Thijm,Catharina Thijm
Norman Grubb,Margaret Adelaide Crichton-Stuart
Nicholas Humphrey,Janet Hill
Ralph de Neville, 1st Earl of Westmorland,Maud Percy
Marie Antoinette Menessier-Nodier,Désirée Nodier
Sara Coleridge,Sarah Fricker
Mabel Dove Danquah,Eva Buckman
Martina Wied,Jenny Schnabl
León Felipe,Valeriana Galicia Ayala
Thomas Urquhart,Christian Elphinstone
Martin Conway, 1st Baron Conway of Allington,Elizabeth Martin
Alfons Van Hee,Hortensia Fraeys
George van den Bergh,Betsy van den Bergh-Willing
Sarah Hogg, Viscountess Hailsham,Margaret Mary Hall
