Bob Dylan,Beatrice Stone
Neile Adams,Miami Salvador
Robert Downey Jr.,Elsie Downey
Sophia Loren,Romilda Villani
Sofía Vergara,Margarita Vergara Dávila De Vergara
Rupert Everett,Sara MacLean
Rooney Mara,Kathleen McNulty Mara
Keanu Reeves,Patricia Taylor
Kate Mara,Kathleen McNulty Mara
Ridley Scott,Elizabeth Jean Scott
Aaron Taylor-Johnson,Sarah Johnson
Hugh Laurie,Patricia Laidlaw
Mady Christians,Bertha Klein
Q'orianka Kilcher,Saskia Kilcher
Kyra Sedgwick,Patricia Rosenwald
Bryce Dallas Howard,Cheryl Howard
Laurence Olivier,Agnes Louise Crookenden
Howard Hawks,Helen Howard
Hedy Lamarr,Gertrud Kiesler
Richard Dean Anderson,Jocelyn Rhae Carter
Oprah Winfrey,Vernita Lee Winfrey
Angelika Schrobsdorff,Else Schrobsdorff
Clark Gable,Adeline Herschelman
Friedrich von Ledebur,Marie Gräfin Resseguier
Víctor Jara,Amanda Martínez
Kirstie Alley,Lillian Alley
Mark Hamill,Virginia Hamill
Lucille Ball,Desiree Hunt
Liam Neeson,Katherine Brown
Harrison Ford,Dorothy Ford
Michelle Yeoh,Janet Yeoh
Ava Gardner,Mary Elizabeth Baker
Mike Nichols,Brigitte Landauer
Blake Edwards,Lillian Virginia McEdward
Jordin Sparks,Jodi Sparks
Tony Curtis,Helen Klein
Jennifer Grey,Jo Wilder
Marina Sirtis,Despina Sirtis
Danielle Darrieux,Marie-Louise Darrieux
Priscilla Presley,Ann Wagner
Rosie Huntington-Whiteley,Fiona Yvonne Jackson
Joan Blondell,Kathryn Caine
Robin Williams,Laura McLaurin
Carrie Underwood,Carole Underwood
Seth Rogen,Sandy Rogen
Emmanuelle Devos,Marie Henriau
Lisa Bonet,Arlene Litman
Emma de Caunes,Gaëlle Royer
Matt Groening,Margaret Ruth Wiggum
Geraldine Farrar,Henrietta Barnes Farrar
Sara Michael Foster,Rebecca Dyer
William Baldwin,Carol Baldwin
Stephen Baldwin,Carol Baldwin
Jessica Sanchez,Edita Sanchez
Daniel Baldwin,Carol Baldwin
Fred Astaire,Ann Astaire
Steve Irwin,Lyn Irwin
Jay-Z,Gloria Carter
Jennifer Lynch,Peggy Reavey
Keke Palmer,Sharon Palmer
Marilyn Chambers,Virginia Richardson
Michel Houellebecq,Lucie Ceccaldi
Naomi Watts,Myfanwy Edwards
Alanis Morissette,Georgia Feuerstein
Anna German,Irma Mertens-Berner
Stewart Granger,Frederica Eliza Lablache Stewart
Grégori Baquet,Maria Yakimova
Charles Trenet,Marie-Louise Caussat-Trenet
Jim Belushi,Agnes Belushi
Jean Harlow,Jean Harlow
Nicole Richie,Karen Moss
China Anne McClain,Shontell McClain
Suzi Quatro,Helen Sanislay
Francesca Caccini,Lucia Caccini
Adam Sandler,Judy Sandler
Alexander Skarsgård,My Skarsgård
Eduardo De Filippo,Luisa De Filippo
Sam Shepard,Jane Elaine Schook
Jason Reitman,Geneviève Robert
Steve McQueen,Julia Crawford
Rishi Kapoor,Krishna Kapoor
Freddie Prinze Jr.,Kathy Prinze
Chiwetel Ejiofor,Obiajulu Ejiofor
Luke Benward,Kenda Benward
Vanna Bonta,Maria Luisa Ugolini Bonta
Hoku,Patti Swallie
Martin Miehe-Renard,Elinor Hadden
Udo Jürgens,Käthe Bockelmann
Mickey Rooney,Nellie W. Carter
Norma Shearer,Edith Fisher
Albano Carrisi,Jolanda Ottino
Debbie Reynolds,Maxine Reynolds
Ryan O'Neal,Patricia O'Callaghan
Bohdan Stupka,Mariya Grigorivna Stupka
Eddie Fisher,Katherine Tisch
Michel Aumont,Hélène Gerber
Frank Thring,Olive Thring
Beata Tyszkiewicz,Barbara Tyszkiewicz
Maria Aurora von Königsmarck,Maria Kristina Wrangel
Sage Stallone,Sasha Czack
Phyllida Law,Megsie Law
Georgia Byng,Jennifer May
Lotte Tarp,Aase Tarp
Markie Post,Marylee Armstrong
Flora Montgomery,Daphne Bridgeman
May Irwin,Jane Draper Campbell
Meredith Monk,Audrey Marsh
Kristen Dalton,Jeannie Boger
Spencer Grammer,Doreen Alderman
Pink,Judith Moore
Vanessa Johansson,Melanie Sloan
Gustaf Skarsgård,My Skarsgård
Skyler Shaye,Bonnie Paul
Patrick Macnee,Dorothea Mabel Henry
Clara Kimball Young,Pauline Garrette Kimball
Joan Barry,Norah Cavanagh
Katie Boyle,Dorothy Kate Ramsden
Paul Reiser,Helen H Reiser
Ivan Jandl,Božena Jandlová
Treat Williams,Marian Andrew
Bruce Dern,Jean Macleish
Chevy Chase,Cathaline Parker Widdoes
Jeff Bennett,Genya Benaderet
Marika Lagercrantz,Martina Ruin
Liliana Mumy,Eileen Mumy
Kitty Winn,Molly Pender Brown Winn
Navi Rawat,Claudia Littmann
Jean Rochefort,Fernande Rochefort
Robbie Coltrane,Jean Ross Howie
Sharmila Tagore,Ira Barua
Alexander Gould,Valerie Gould
William Augustus Wellman,Cecila McCarthy
Celia Johnson,Ethel Griffiths
Mandy Smith,Patsy Smith
Izabella Miko,Grażyna Dyląg
Charlie Day,Mary Adelaide Peckham
Dean Stockwell,Elizabeth Margaret Veronica
Mel Brooks,Kate Kaminsky
Jessica Mauboy,Therese Mauboy
Dorothea Bland,Grace Phillips
Nikka Costa,Terry Ray Costa
Esther Freud,Bernadine Coverley
Lalla Ward,Marjorie Banks
Nena von Schlebrügge,Brigit Holmquist
Spike Jones,Ada Armstrong
Sophie Ward,Alexandra Malcolm
Elizabeth Inglis,Margaret Hunt
Cole Hauser,Cass Warner
Noel Harrison,Marjorie Thomas
Florence Marryat,Catherine Shairp
Tom Hiddleston,Diana Patricia Servaes
Line Renaud,Simone Renard
Celia Imrie,Diana Elizabeth Cator
Rani Mukherjee,Krishna Mukherjee
Tyrone Powell,Patia Power
Skandar Keynes,Zelfa Hourani
Danny Dyer,Christine Dyer
Dylan O'Brien,Lisa O'Brien
Christopher Villiers,Elizabeth Barbara Hobbins
Bill Lancaster,Norma Anderson
Clio Goldsmith,Gillian Goldsmith
Aileen Getty,Gail Harris
Gabriella Wilde,Vanessa Hubbard
Anna Chancellor,Alice Jolliffe
Peppino De Filippo,Luisa De Filippo
Bill Skarsgård,My Skarsgård
Viktor Tsoi,Valentina Vasilevna Tsoi
Clare Boothe Luce,Anna Snyder
Autumn Phillips,Kathleen McCarthy
Jordan Scott,Sandy Watson
Nicolas Bedos,Joëlle Bercot
Charles Kean,Mary Chambers
John Farrow,Lucy Savage
Otis Barton,Mary Lowell Coolidge
Huw Ceredig,Elizabeth J. Griffiths
Ryan Ochoa,Deanna Ochoa
Hal B. Wallis,Eva Wallis
Gisèle Casadesus,Marie-Louise Beetz
Bernard Rose,Susan Latham
Oleg Yefremov,Anna Yefremova
Gisela May,Käte May
Sharman Macdonald,Janet Rewat
Colin Salmon,Sylvia Ivy Brudenell Salmon
Lavinia Warren,Huldah Warren
David Janssen,Berniece Janssen
Natalya Varley,Ariadna Sergeevna Seniavina
Titina De Filippo,Luisa De Filippo
Cameron Boyce,Libby Boyce
Segundo de Chomón,Luisa Ruiz Valero
Torben Ulrich,Ulla Ulrich
Cody Horn,Cindy Harrell
Lord David Dundas,Penelope Pike
David Belasco,Reina Nunes Martinez
Vincent Lindon,Alix Dufaure
Damian Lewis,Charlotte Mary Bowater
Pat Boone,Margaret Pritchard
Michael Wayne,Josephine Wayne
Karin Lannby,Lilly Lannby
Nina van Pallandt,Clara Kirstine Undset Gyth
Mariana Seoane,Stella García
Antje Straßburger,Erika Straßburger
Kyle Eastwood,Maggie Johnson
William Gillette,Eliza Daggett Hooker Gillette
Diane Webber,Marguerite Andrus
Joanne Woodward,Elinor Trimmier
Jack Huston,Lady Margot Cholmondeley
Charles Sturridge,Alyson Patricia Burke
Luis Miguel,Marcela Basteri
Donald Glover,Beverly Glover
Miles Mander,Flora St. Clair Paint
Cara Delevingne,Pandora Stevens
Bunny Breckinridge,Adelaide Murphy
Sarah Fairbrother,Roberta Freeman
Julian Gilbey,Linda Gilbey
Scott Eastwood,Jacelyn Reeves
Emmanuel Bourdieu,Marie-Claire Bourdieu
Poppy Delevingne,Pandora Stevens
Evelyn Künneke,Katarina Garden
Patrick Wayne,Josephine Wayne
Steele MacKaye,Emily Benton Steele
Joseph Santley,Laurene Santley
Helena Pickard,Jennie Skelton
Richard Greene,Kathleen Gerrard
Berry Berenson,Yvonne Maria Luisa Schiaparelli
Ryan Potter,Jordanna Potter
Crispian Belfrage,Gilly Pratt
Dean Paul Martin,Jeanne Martin
Frank Benson,Elizabeth Smith
Eric Thompson,Annie Thompson
James Bachman,Carolyn Margaret Kaye Hamilton
John Jürgens,Panja Jürgens
Jenny Jürgens,Panja Jürgens
Heinrich Schnitzler,Olga Schnitzler
Hans-Reinhard Müller,Marga Müller
Tyrone Power Jr.,Deborah Jean Smith
John Rubinstein,Nela Rubinstein
Don Francisco,Annie Blumenfeld
Nadja Maleh,Margaretha Maleh
Simon Fisher Turner,Julia Jane Money-Coutts
Kelly Gould,Valerie Gould
Florence Luchaire,Françoise Besnard
Rupert Vansittart,Clare B. Conyers
Miriam Stein,Marie-Louise Stein
Michael Brennicke,Rosemarie Lang
Christina Schollin,Henny Elisabet Högfors
Liane Alexandra Curtis,Paulette Rubinstein
Harriet Bosse,Anne-Marie Lehmann
Matthias Grimm,Helga Kalkum
Tamara Ustinov,Isolde Denham
Charles-Alexandre Guyon,Marie-Pauline Jarry
Daniel MacPherson,Anne Macpherson
Robert Bathurst,Winifrede Gillian Debenham
Stephen Kemble,Sarah Ward
Per Kleppe,Nathalie Mathilde Andersen
Corinne Luchaire,Françoise Besnard
Bryan Foy,Madeline Morando
Ania Guédroïtz,Oonagh Ryan
Oliver Muirhead,Dawn Noëlle Molesworth
Timothy Carlton,Paula Congdon
Suzanna Sablairolles,Johanna Scholten
Jason Davis,Nancy Davis
Julien Rassam,Anne-Marie Rassam
Catherine Reitman,Geneviève Robert
Enny Meunier,Marie Meunier
Penny Peyser,Marguerite Peyser
Per Bentzon Goldschmidt,Agnete Weis Bentzon
Igor Talkov,Olga Talkova
Mrs. John Wood,Amelia Vining
Randhir Kapoor,Krishna Kapoor
Jazmin Grace Grimaldi,Tamara Rotolo
Alexis Michalik,Pamela Hargreaves
Brooke Theiss,Kathleen Mitchell
Eva Palmer-Sikelianos,Catherine Amory Bennett Abbe
Alma Fahlstrøm,Anne-Marie Lehmann
Victoria Bedos,Joëlle Bercot
Xian Lim,Mary Anne Cruz Lim
Delphine Forest,Nadine Forest
DeWolf Hopper,Rosalie DeWolf Hopper
Christophe Guybet,Viviane Guybet
Emmanuelle Bach,Holda Trenkle
Hugolin Chevrette-Landesque,France Chevrette
Izïa,Aziza Zakine
Frank Craven,Ella Mayer
Jennifer Crystal Foley,Janice Crystal
John Price,Charlotte Price
James W. Horne,Edith Woodthorpe
Bruce Carradine,Ardanelle McCool
Prince Radu, Prince of Romania,Gabriela Duda
Dominique Nohain,Jeanne Delaunay
Florence Moncorgé-Gabin,Christiane Fournier
Laure de Clermont-Tonnerre,Martine de Clermont-Tonnerre
Liberty Ross,Roxana Lampson
Joséphine Ropion,Catherine Privat
Nadine Vogel,Cosette de Brunhoff
Jimmy Little,Frances Little
Stone,Yvette Gaumet
Nicolas Vogel,Cosette de Brunhoff
Mathilde Casadesus,Lucette Laffite
Millicent Hearst,Hannah Elizabeth Murray Willson
Marc Labrèche,Michelle Labrèche-Larouche
Pendleton Ward,Bettie Ward
Thomas Sheridan,Elizabeth MacFadden
Thomas Jefferson,Margaret Clements Lockyer
Tim Considine,Carmen Pantages
Richard Barry, 7th Earl of Barrymore,Lady Amelia Stanhope
Sören Prévost,Jette Bertelsen
Stéphanie Tesson,Marie-Claude Tesson-Millet
Gabby Eigenmann,Irene Celebre
Sylvia La Torre,Leonora Reyes
Éva Truffaut,Madeleine Morgenstern
Walter Baldwin,Pearl Melville
Orlando,Giuseppina Gigliotti
Raphaël Patorni,Régina Patorni-Casadesus
Stein Winge,Eva Winge
Philippe Marlaud,Marina de Kovalewski
Jacopo Olmo Antinori,Francesca De Martini
Edna Wallace Hopper,Josephine Wallace
Simona Postlerová,Jana Postlerová
Jenny Lumet,Gail Lumet Buckley
Arabella Weir,Alison Walker
Louisa Lane Drew,Eliza Trenter Lane
María Abradelo,Isabel Patton
Michelle Creber,Monique Creber
Vladimir Talkov,Olga Talkova
Odoardo Spadaro,Mary Marchesini
Miriam di San Servolo,Giuseppina Persichetti
Sarah Edmondson,Ellen Shapiro
Ria De Simone,Olga Romanelli
Ruth Draper,Ruth Dana Draper
Pietro Sermonti,Samaritana Rattazzi
Athole Shearer,Edith Fisher
Madeline Foy,Madeline Morando
Alva Garbo,Anna Lovisa Johansdotter
Sigrid Deurell-Lundgren,Charlotte Rabsén
Louise Granberg,Jeanetta Vilhelmina Hedmansson
Abir Chatterjee,Rumki Chatterjee
Alban Lendorf,Anne Elisabeth Lendorf
Alex Broun,Janet Patricia Edwards
Al Murray,Juliet Ritchie
Andrew Woodall,Deirdre Kathleen Child
Angela Thorne,Sylvia Leslie
Angela Lascelles,Lilian Emma Lawler
Amanda Aday,Leslie G. Edmonds
Hugo Metsers,Maartje Seyferth
Georg Funkquist,Valborg Bendz
George Curzon,Minnie Jeffreys
Eva Norvind,Johanna Kajanus
Maryana Spivak,Catherine E. Vasilyeva
A. Bromley Davenport,Augusta Campbell
Fred Ball,Desiree Hunt
Lauryn McClain,Shontell McClain
Hal LeSueur,Anna Johnson
Ari Gold,Melissa Dilworth Gold
Anuradha Patel,Bharti Jaffrey
Aubrey Fitzgerald,Caroline Wilson
Archibald Douglas, Earl of Moray,Beatrice Sinclair
Barton Booth,Ann Booth
Gloria Blondell,Kathryn Caine
Caroline Langrishe,Penelope Jill Horley
Hertha Westerstrand,Christina Maria Wikmanson
Rose Wood,Sarah Campbell
Bruce Belfrage,Frances Grace Powley
Bruce Seton,Elma Armstrong
Blyth Daly,Mary Blythe
Belinda Carroll,Hazel Bainbridge
Emmy Abrahamson,Urszula von Sychowski
Belinda Stewart-Wilson,Helen Fox
Brian Forster,Jennifer Downing
Jeanette Bonnier,Birgit Bonnier
Gull-Maj Norin,Ann-Sofi Norin
Lulu Prior,Mrs. J. J. Prior
Anita Berger,Sonja Herlin
Valborg Moberg,Sophia Mathilda Embring
Cary Lawrence,Anne Cadman
Clara Salaman,Juliet Nicholson
Cathryn Harrison,Sara Lee Eberts
Charles Lee Lewes,Eleanor Lewthwaite
Corey Parker,Jillian Fink
Erin Foster,Rebecca Dyer
Emma Hiddleston,Diana Patricia Servaes
Elle King,London King
Edward Hugh Sothern,Frances Emily Stewart
Devon Scott,Patricia Reed Scott
David Ellison,Barbara Boothe
Elaine Hammerstein,Jean Kent Allison
Effie Germon,Jane Germon
Edmund Milton Holland,Catherine Holland
Elizabeth Harris Aitken,Constance Wills
Daniel Macmillan, Viscount Macmillan of Ovenden,Birgitte Hamilton
Darshan Jariwala,Leela Jariwala
Eddie Foy, Jr.,Madeline Morando
Irving Foy,Madeline Morando
Richard Foy,Madeline Morando
Sven Gustafsson,Anna Lovisa Johansdotter
Charley Foy,Madeline Morando
Sandra Vergara,Margarita Vergara Dávila De Vergara
Felicity Montagu,Dorothy Boreham Chuter
Florence Brudenell-Bruce,Sophie Inch
Marie Tempest,Sarah Mary Castle
Felix Herngren,Kajsa Birgitta Herngren
Francis Blake Delaval,Rhoda Apreece
Françoise Pitel,Charlotte Legrand
Gabrielle Blunt,Maud Etta Hyde
Gerald Sim,Ida Carter
H. Cooper Cliffe,Agnes Kemble
Gertrude Short,Estella Short
Eddie Foy III,Anna Marie McKenney
Henry James Byron,Elizabeth Josephine Bradley
Greer Grammer,Barrie Buckner
Gwen Nelson,Emily Walsh Lewis
Göran Graffman,Gunhild Josephson
Harry Corson Clarke,Adele Clarke
Andrés Pérez,Alicia Araya
Sven-Erik Rolf,Margit Strugstad
Chino Darín,Florencia Bas
Tomas Laustiola,Rita Laustiola
Elith Reumert,Anna Christine Ponsaing (1821-1880)
Ingrid Boulting,Enid Boulting
James William Wallack,Elizabeth Wallack
Jean St. Clair,Evelyn Mary Josephine Synnott
Jeremy Child,Sheila Mathewson
Valter Skarsgård,My Skarsgård
Mille Schmidt,Gunborg Åkerblom
James Henry Hackett,Ann Keteltas
James Roache,Sarah Roache
Nils Jerring,Anna Malvina Karlsson
John Considine,Carmen Pantages
Jessie Bartlett Davis,Lucetta F. McKenna
Frithiof Strömberg,Anna Martini
John Clark,Ethel Margaret Jensen
Robert Sedgwick,Patricia Rosenwald
Rajiv Kapoor,Krishna Kapoor
John Sayer Crawley,Hannah Elizabeth Carter
Settimia Caccini,Lucia Caccini
Marcos Antonio Ferraez,Barbara Baumstark
Maria Kimberly,Madlynne Angelina Kimmerle
Lucy Peacock,Georgia Thorndike
Kate Terry,Sarah Ballard
Louisa Cranstoun Nisbett,Jane Williams
Jung Da-bin,Kim Kyung-sun
Kay Hammond,Marie Barret
Richard Lupino,Rose Jones
Merle Tottenham,Hilda May Fox
Melinda Marx,Kay Marvis
Michael Richardson,Monica Richardson
Stella Weaver,Maggie Newton
Sophie Nyweide,Shelly Gibson
Stephen Murray,Mabel Umfreville
Pamela Stanley,Margaret Gordon
Naomi Jacob,Nina Abbott
Gaby Aldor,Shoshana Ornstein
Rebecca Night,Ann Maguire
Philip Nozuka,Holly Sedgwick
Marion Terry,Sarah Ballard
Melanie Shatner,Gloria Rand
Walter Belasco,Reina Nunes Martinez
Rostislav Novák,Anna Nováková
Ronne Troup,Cynthia Hare
Sam Cowell,Maria Murray
Robert Courtleigh,Edna Conroy
Samuel Honywood,Wendy Young
Robert Munro, 14th Baron of Foulis,Catherine Mackenzie
William Collier Sr.,Hattie Engel
Sydney Shields,Bessie Smallwood Shields
Sydney Fairbrother,Florence Cowell
Symona Boniface,Nonna Ferner
Svein Tindberg,Inger Tindberg
Tina Cole,Yvonne King
Tim Donnelly,Eileen O'Malley
Timothy Ackroyd,Jennifer Eileen McLeod Bishop
Thomas Eje,Bodil Eje
Eva Vrchlická,Ludmila Vrchlická
Makenna Cowgill,Jackie Gonneau
Walter Hamilton,Emma Pollock
Trey Smith,Sheree Zampino
Will Keen,Lady Mary Keen
Tom Chadbon,Josie Y. Cook
Adam Mišík,Eva Mišíková
Diego Swing,Patricia Ho
Julia Neilson,Emilie Davis
Sierra McClain,Shontell McClain
Zoë Poledouris,Bobbie Poledouris
Ana Leza,Concha Leza
William Courtleigh, Jr.,Helen Cross
William Warren,Esther Fortune
Ina-Miriam Rosenbaum,Herdis Rosenbaum
Ib Tardini,Ellis Tardini
Ole Stephensen,Lise Westphal Stephensen
Pia Rosenbaum,Herdis Rosenbaum
Vladimír Hlavatý,Pavla Hlavatá
Stine Bierlich,Ann Bierlich
Rosamond Pinchot,Gertrude Minturn Pinchot
Emmi Jurkka,Emma Tuominen
Christiane Rohde,Benedicte Rohde
Arvi Tuomi,Emma Tuominen
Caspar Phillipson,Helle-Vibeke Brinch
Casper Crump,Nellie Crump
Kristýna Boková,Jitka Boková
Angelito Nepomuceno,Isabel Acuña
Molly Tarlov,Judith Roberts
Rain Pryor,Shelley R. Bonus
Taavi Eelmaa,Reet Eelmaa
Katherine Waterston,Lynn Louisa Woodruff
Beau Dunn,Laura Dunn
Polly Adams,Jane Belson
Jenovéfa Boková,Jitka Boková
Austin Swift,Andrea Finlay
Valter Tuomi,Emma Tuominen
Shomi Kaiser,Panna Kaiser
Janet Alexander,Helen Kate Shuldham
Eric Maturin,Edith Emily Money
Lytton Sothern,Frances Emily Stewart
Elisabeth Waterston,Lynn Louisa Woodruff
Sir Gyles Isham,Millicent Vaughan
Ernest Glendinning,Clara Braithwaite
Farrah Abraham,Debra Danielsen
George Meade Easby,Henrietta Easby
Lily Hanbury,Elisabeth Davis
Rachel House,Sheila House
Alice Orr-Ewing,Susannah Scott
Jeremy Brudenell,Mollie Rothwell
Lord James Douglas,Margaret Hamilton
James K. Hackett,Clara Cynthia Morgan
Jack Curtis,Mabel Ford
Alice St Clair,Helen Watters
Beatrice Forbes-Robertson Hale,Gertrude Forbes-Robertson
Lewis Strange Wingfield,Elizabeth Jocelyn
Harriet Siddons,Anne Acres
Olava Øverland,Anna Ims
Kathleen O'Malley,Lillian O'Malley
Delaval Astley, 23rd Baron Hastings,Catherine Roseline Ratcliffe Hinton
Joshua Sasse,Mary Rosalind Macauley
Charles Murray,Dorothy Webb
Catherine Dorion,Claudette Brasseur
Bruno Fagundes,Mara Carvalho
Wilhelmina Gerritje Sablairolles,Johanna Scholten
Sophie Sablairolles,Johanna Scholten
Henriëtte Jacqueline Sablairolles,Johanna Scholten
Olivia Llewellyn,Vanessa Hubbard
Emily Bevan,Anne Marie O'Connor
Sarah Lane,Sarah Fowles
Rosina Vokes,Sarah Wood
Milly Bergh,Julie Ihlen
Leonora Wigan,Elizabeth Pincott
William Leese,Mary Constance Hargreaves
Ann Rork Light,Helen Welch
Harry Lambart,Catherine Gill
Ed Oxenbould,Diana Adams
Anton Amon,Brigitta Amon
Charlie Plummer,Maia Guest
Anya Taylor-Joy,Jennifer Marina Joy-Morancho
Sandrine Beilvaire,Bernadette Bernard
Bernadette Bernard,Jacqueline Casadesus
Edward Compton,Emmeline Montague
Renée de Courville,Jacqueline Casadesus
Zoe,Roumina Straub
Lisabeth Shatner,Gloria Rand
Cassidy Horn,Cindy Harrell
Julia Hoyt,Sarah Guthrie Jewett
Clementine Hambro,Charlotte Soames
Gustav Dyekjær Giese,Maja Dyekjær
Leopold Lažanský,Rosina von Mack
Anne d'Ennebault,Françoise d'Ennebaut
Caroline Reitman,Geneviève Robert
Margrit Straßburger,Erika Straßburger
Stephen Glover,Beverly Glover
Seth Mumy,Eileen Mumy
Oscar Dyekjær Giese,Maja Dyekjær
Dua Lipa,Anesa Lipa
Sarah Kaminsky,Leïla Kaminsky
Angelique Rockas,Stavroula Rockas
Jean Guitry,Renée Delmas
Juri Zanger,Isabella Schörghuber
Emily Zanger,Isabella Schörghuber
Spencer Matthews,Jane Parker
Dora Tulloch,Kate Wentworth
Charlotte Tiedemann,Luise Klein
Anton von Lucke,Ulrike Pfeiffer
Florence Fair,Margaret McElvain
Jane Carrey,Melissa Womer
Craig Strong,Susan Strong
Sascha Bailey,Catherine Dyer
Cho Hyun-chul,Ahn Il-soon
Louis Waymouth,Lady Victoria Yorke
Amanda Elwes,Lorna Lyle
Nick Vallelonga,Dolores Vallelonga
Mads Reuther,Lone Hunæus
Cherry Hambro,Molly Green
Lily Costner,Cindy Costner
Sam Giamatti,Elizabeth Giamatti
Fritz Brun,Gudrun Brun
Adrien Dupuis-Hepner,Nathalie Dupuis-Hepner
Camila Morrone,Lucila Solá
Will Attenborough,Karen Lewis
Christine Stoetz,Louiza Johanna Majofski
Kalen Keach,Holly Collins
Elizabeth Susan Douglas-Scott-Montagu,Lady Cecil Kerr
Margaret Salinger,Claire Douglas
Daniel Oreskes,Susan Oreskes
Ariane Brandt,Yanna Kroyt Brandt
Dafne Keen,María Fernández Ache
Jo March,Marmee March
Kathryn Eastwood,Jacelyn Reeves
Antrim Short,Estella Short
Anthony Richardson,Monica Richardson
Soumaya Keynes,Zelfa Hourani
Rick Ochoa,Deanna Ochoa
Robert Ochoa,Deanna Ochoa
Helen Douglas-Scott-Montagu,Lady Cecil Kerr
Ingaret Giffard,Evelyn Alice Chambers
Camilla Eibenschütz,Rosa Anna Therese Eibenschütz
Zeventine,Margreth Elfström
Fernando Peña Peña,Fernanda Peña Vargas
Bessie Hatton,Louisa Johnson
Marguerite Tangye,Daphne Rachel Mulholland
Poppy Corby-Tuech,Catherine Campbell
Lilly Freud-Marlé,Maria Freud
Nina Sommerfelt,Anne Kristine Knudsen
Kristoffer Helmuth,Rikke Bendsen
Ella Hunt,Louise Hunt
Grethe Paaske,Elisa Paaske
Viktoria Gottlieb,Elisabeth Krogh
Carlos Vasallo,María del Rosario Tomé y Alonso
Robert Harris,Suzanne Amèlie Anstie
Ella Jonas Farlinger,Jennifer Jonas
Giovanni Morassutti,Sabine Piwko
Jill Furse,Margaret Newbolt
Cooper Murray,Jennifer Butler
Lois Sturt,Lady Feodorowna Yorke
Allegra Leguizamo,Justine Maurer
Haidy Schreker,Maria Schreker
Nellie Chin Yu,Zhu Meijun
Frida Meinhardt,Mária Stefánia Skerlecz
Iza Giełgud,Leontyna Aniela Aszperger
Michael Shannon,Dorothy Wick
Ursula van Diemen,Olga van Diemen
Bria Murphy,Nicole Mitchell Murphy
James William Wallack II,Fanny Jones
Julia Granger Jones,Elizabeth Wallack
Flo Irwin,Jane Draper Campbell
Frank Kemble-Cooper,Agnes Kemble
Jay Villiers,Elizabeth Barbara Hobbins
Veronica Vergara,Margarita Vergara Dávila De Vergara
Cat Villiers,Elizabeth Barbara Hobbins
Jessie Glendinning,Clara Braithwaite
Meg March,Marmee March
Alexandr Postler,Jana Postlerová
Nathaniel J. Potvin,Tanya Potvin
Felix Cecil Francis Drake,Edith Lloyd
Sir Anthony Hooper, 2nd Baronet,Eglantine Bland
Benjamin Terry,Catherine Crawford
Daniela Ibáñez,Nicole
Julius Orlebaar Murray-Prior,Nora Clarina Murray-Prior
Sylvia Storey,Lilian Margaret Thorley Holmes
Tanit Lascelles,Lori Susan Lee
Rachael Catherine Heaton-Armstrong,Kathleen Idonea Cresswell Chance
James Andrew Crowe,Jane Dolores Auchmuty
Stanhope Wheatcroft,Adeline Aguilar
Tom Stourton,Margaret McEwen
Pandora McCormick,Sophie McCormick
Melissa Owen,Valerie Ethell
