Bob Dylan,Beatrice Stone
Cecil de Blaquiere Howard,Alice Augusta Farmer
Canut Reyes,Clementine Nésanson
Sir Richard Hoare, 2nd Baronet,Anne Hoare
Pieter de Josselin de Jong,Sophia Anna Voorduin
William Clarke Wontner,Catherine Smith
Auguste Musin,Célestine Gosselin
Henri Delaborde,Rose Charlotte Guillaume
John Gadsby Chapman,Margaret Sarah Gadsby Chapman
Edward Hawke Locker,Lucy Parry
Henry Lerolle,Edmée Lerolle
James Peale,Margaret Triggs Peale
Magdeleine Mocquot,Jeanne Quénu
Joseph Strutt,Elizabeth Young
Nathaniel Dance-Holland,Elizabeth Gould
John Price,Charlotte Price
Paul-André Robert,Berthe Robert-de Rutté
Sophie Trébuchet,Louise Le Normand
Anne Barnard,Anne Dalrymple
Samuel Greene Wheeler Benjamin,Mary Gladding Wheeler Benjamin
Mary Fedden,Ida Margaret Prichard
Édouard Bertin,Geneviève-Aimée-Victoire Boutard
Edmund Quincy,Ellen Frances Krebs Tyler
Malcolm Drummond,Anna Harriet Dodsworth
Carlo Belli,Luigia Fait
Xing Tong,Wan Shi
Virginie Demont-Breton,Élodie Breton
Henry Sargent,Mary Turner Sargent
Wang Guxiang,Qian Shi
Yao Shou,Hu Shi
Jean-Marie Toulgouat,Lilly Butler
Henry Wood Elliott,Sophia Appolina Hopkins Elliott
Pierre Clerk,Fernande Choquette
Princesse et Duchesse Pauline d'Arenberg,Louise Antoinette de Brancas-Villars
Pierre Lagarde,Sophie-Amélie-Laure Lagarde
Pierre-Paul-Léon Glaize,Rose-Esther Rémond
Frances Reynolds,Theophila Potter
James Skene of Rubislaw,Jean Moir
Martin Archer Shee,Mary Archer
Ariadna Aleksandrovna Arendt,Sofia Mykolayivna Arendt
Fanny Brate,Henriette Alexandrine Dahlgren
Prince Rostislav Rostislavovich Romanovsky,Christia Ipsen
Catherine Read,Elizabeth Wedderburn
Cecile Walton,Helen Henderson
Cephas Thompson,Deborah Bryant Sturtevant Thompson
Cassius Marcellus Clay Sr.,Edith E. Clay
Birgit Afzelius-Wärnlöf,Ester Afzelius
Augustus Nicholas Burke,Fanny Xavier Tucker
Fredrika Eleonora von Düben,Catharina Eleonora Temming
Christine Løvmand,Sara Christine von Lützow
Ann Mary Newton,Elizabeth Montgomerie
Rinaldo Cuneo,Annie Cuneo
Abraham Hume, 2nd Baronet,Hannah Frederick
Nils Gude,Betsy Gude
Élisabeth Sonrel,Marie Élisa Gillet
Girolamo Amalteo,Natalia Amalteo
Charles Fell,Fanny Fell
Coplestone Warre Bampfylde,Margaretta Warre
Clarence Dobell,Julietta Thompson
Coutts Lindsay,Anne Trotter
Charmian Campbell,Mary Bishop
Charles Lloyd Jones,Helen Ann Jones
Charles Golding Constable,Maria Bicknell
Thomas Monro,Elizabeth Culling Smith
Randal Keynes,Anne Adrian
Edward Francis Burney,Elizabeth Humphries
Cuthbert Orde,Alice Georgiana Archdale
George Fuller,Fanny Negus Fuller
Frederick Richard Say,Eleanor Francis
George Vicat Cole,Eliza Vicat
Evie Hone,Eva Eleanor Robinson
Folke Zettervall,Ida Lagergren
Frank Morley Fletcher,Sarah Elizabeth Morley
James Mathews Leigh,Mary Anne Leigh
James Claypoole,Edith Ward
James Clarke Hook,Eliza Frances Clarke
Olof Hermelin,Ebba Sofia Persdotter Ribbing
Henry Byam Martin,Catherine Fanshawe
William Jewett,Mary Jewett
Henry Brown Fuller,Agnes Gordon Fuller
Carlo Dalgas,Johanne Tomine Dalgas
Helen Farnsworth Mears,Mary Elizabeth Mears
Heneage Finch, 4th Earl of Aylesford,Charlotte Finch
Gother Victor Fyers Mann,Camilla Victoria Mitchell
Julian Ashton,Henrietta Rossi
Juliet Thompson,Celeste Thompson
John Willard Clawson,Alice Young Clawson
Jerome Lagarrigue,Lilian Barlow
John Swete,Rebecca Yarde
James Rannie Swinton,Catherine Rannie
Philippe Robert,Berthe Robert-de Rutté
Matthew Pratt,Rebecca Pratt
Mildred Anne Butler,Clare Taylor
Mather Brown,Elizabeth Byles Brown
Michael Rothenstein,Alice Mary Knewstub
Mary Balfour Herbert,Lady Eleanor Maitland
Paul Ayshford Methuen, 4th Baron Methuen,Mary Ayshford Sanford
Philip Norman,Sibella Stone
Pauline, Lady Trevelyan,Catherine Rowland
Oscar Carl Gustav Ankarcrona,Ankarcrona F. Bielke, Ebba Charlotta
Prince Hoare,Elizabeth Barker
Mabel Annesley,Mabel Markham
Letitia Marion Hamilton,Louisa Caroline Elizabeth Brooke
Lionel LeMoine FitzGerald,Belle Hincks
Lucia Fairchild Fuller,Elizabeth Fairchild
Li Shida,Zhang Shi
Rowland Langmaid,Louisa Mary Annie Gilles Langmaid
Sir Charles D'Oyly, 7th Baronet,Diana Rochfort
Robert Charles Goff,Elizabeth Holmes
Sir Brooke Boothby, 6th Baronet,Phoebe Hollins
Sir Francis Cook, 4th Baronet,Mary Hood
Sir George Beaumont, 7th Baronet,Rachel Howland
Orazio Vecellio,Cecilia Soldano
Neltje Doubleday Kings,Ellen George McCarter
Nathaniel Bacon,Anne Butts
Sir Joseph Napier, 4th Baronet,Mabel Forster
William Llewellyn,Alice Jennings
Thornton Oakley,Imogen Brashear Oakley
Toby Bluth,Emaline Pratt
Thomas Eje,Bodil Eje
Xu Youzhen,Ding Shi
Zhang Han,Li Shi
Wu Hu-fan,Shen Jingyan
Zachary Selig,Eleanor Berg
Lin Xiyi,Wang Shi
Sir Henry Chamberlain, 2nd Baronet,Elizabeth Harrod
Zhang Ning,Ding Shi
Zhou Yong,Ji Shi
Winifred Nicholson,Lady Cecilia Howard
Mary Hoare,Elizabeth Barker
Thorald Læssøe,Signe Læssøe
Jytte Rex,Elli Rex
Frederik Christian van Bracht,Elisabeth van Bracht
Ekaterina Junge,Anastasiya Tolstaya
Fang Yizhi,Wu Lingyi
Kai Rittun,Bea Rittun
Simon Du Bois,Helena Elants Tromper
Carl Roll Røstvig,Martha Serine Røstvig
Nicolas Gage, 8th Viscount Gage,Alexandra Imogen Clair Grenfell
Yang Rong,Fu Shi
Yang Rong,Huang Shi
Huang Jian,Wang Shi
Huang Yi,Liang Ying
Jerome Thompson,Olivia Leonard Thompson
Nathaniel Hone the Elder,Rebecca Brindley
Zoé Lucie Betty de Rothschild,Cécile Anspach
Jaan Elken,Linda Elken
Simon Elwes,Winefride Elwes
Paolo Salvati,Giorgina Patriarca
Margaret Bingham,Grace Dyke
Suzy Frelinghuysen,Estelle Burnet Kinney
James Doyle Penrose,Anne Bowles
John Scandrett Harford,Mary Gray
Frances Bunsen,Georgina Mary Ann Port
Marguerite Stern (born Fould),Susette Stern
Jim Ede,Mildred Mary Ede
Frank Morse-Rummel,Leila Morse
Wang Hui,Hu Shi
Zhao Kai,Wang Shi
Théophile Robert,Berthe Robert-de Rutté
Édouard Pils,Suzanne Pils
Bartomeu Maura i Montaner,Margarita Montaner Llampayes
Laurence George Bomford,Francis Jane Winter
Paule Gobillard,Yves Elisabeth Morisot
Kathleen Marescaux,Emma Salmon
Ethel Sands,Mary Morton Hartpence
Chen Yi,Jin Shi
Zheng Shanfu,Zhao Shi
Wang Shichang,Qin Shi
Henry Walton,Matilda Caroline Cruger Yates Walton
Michael Alford,Patricia Boyle
Nicholas Hely Hutchinson,Sheila Parsons
Philippe Dumas,Jacqueline Hermès
Joshua Wilson Faulkner,Elizabeth Todd
Paul Freud,Katherine McAdam
August Künnapu,Liivi Künnapu
Alfred von Waldenburg,Orlinde von Klitzing
Alec Cobbe,Joan Mervyn Cobbe
Elmslie William Dallas,Sarah Day
Anita Greve,Esther Greve
Ju Zhilin,Gao Shi
Matilda Sharpe,Sarah Sharpe
Frank Baden-Powell,Henrietta Grace Smyth
Paul-Louis Gachet,Blanche Castets
George Lowthian Hall,Charlotte Parke
Wilbraham Liardet,Philippa Evelyn
Lu Shi Tao,Chen Shi
Charlotte Johnson Wahl,Beatrice Lowe
Catherine Madox Brown,Emma Hill
Edward Du Bois,Helena Elants Tromper
Walter Severn,Elizabeth Montgomerie
Lascelles Hoppner,Phoebe Hoppner
Lionel Bicknell Constable,Maria Bicknell
Henry L'Estrange Styleman Le Strange,Emilia Preedy
John Dalbiac Luard,Elizabeth Scott
Susannah Rosse,Anne Shepherd
Catherine Molesworth,Elizabeth Wingfield
Catharine Dodgson,Frances Wycliffe Goodwin
James Hall,Helena Hall
Paul-Hippolyte Flandrin,Aimée Ancelot
Lewis Strange Wingfield,Elizabeth Jocelyn
Phebe Folger Coleman,Elizabeth Folger
Nicolette Devas,Yvonne Majolier
Harald Friedrich,Caroline Friedrich
Julia Emily Gordon,Julia Isabella Levina Gordon
Wendela Boreel,Edith Margaret Ives
Rosalie Caroline Chichester,Rosalie Amelia Chamberlayne
Beatrice Whistler,Frances Black
Joseph Henry Gest,Susannah Bailey Gest
Raphael West,Elizabeth Shewell West
Harriet Cradock,Mary Grove
Helena de Kay Gilder,Janet Halleck Drake
Amelia Hotham,Susannah Hankey
Li Shishi,Luo Shi
Bian Rong,Zhang Shi
Richard St John Tyrwhitt,Catharine Wigley St. John
Shi Lin,Xia Shi
Chen Qi,Yan Shi
Sonia Lawson,Muriel Metcalfe
Helga Michie,Berta Aichinger
William Eden,Elfrida Susanna Harriet Iremonger
Zélia Lenoir,Laure Rey
Nanti Bryn Hansen,Nanti Bryn
Albinia Hobart,Ann Casey
Henriette Carrier-Belleuse,Louise-Anne Adnot
Arthur Studd,Dorothy Sophia Thomas
Adrian Ryan,Kathleen Frances Helps
Hely Augustus Morton Smith,Harriet Anna Morton
Agnes Morrison Cadell,Mary Amelia McCrae
Joanna Hilary Bonham-Carter,Joanna Maria Smith
Esther Blaikie MacKinnon,Theodora Thompson
Mary Helen Carlisle,Margaret Alice Carlisle-Carr
R. E. Minchin,Mary Anne Wright
Robert Frankland Russell,Dorothy Smelt
Maria Machteld van Sypesteyn,Maria de Lange
Henry Richard Graves,Lady Mary Paget
Robert Elwes,Susan Hamond
Coralie de Burgh,Isabel Caroline Berkeley Campbell
Douglas Fox Pitt,Alice Stanley
Emmeline Deane,Louisa Elizabeth Fourdrinier Deane
Dennis Smith,Annie Mary Christian
Florence St John Cadell,Mary Amelia McCrae
Garnet Ruskin Wolseley,Jean Ruskin Richardson
Frances Anne Edgeworth,Mary Waller
Arthur Severn,Elizabeth Montgomerie
Paolo Bellotti,Anna Maria Tosi
Carlo Matteo Bellotti,Anna Maria Tosi
Geoffrey Birkbeck,Etheldreda Isabella ffolkes
Alfred Edward Borthwick,Rebecca Cathcart
Cephas Giovanni Thompson,Olivia Leonard Thompson
Arthur Hughes,Bethia Hiscutt
Jessie Emily Scarvell,Annette Frances Want
Leopoldo Bellotti,Anna Maria Tosi
Charles Lewis Fussell,Rebecca Lewis Fussell
François de Hérain,Louise Hulleu
Madeleine Rouart,Valentine Lamour
William Henry Millais,Mary Emily Evamy
Alice Amelia Heelas,Amelia Mary Ann Heelas
Douglas Yeoman Blakiston,Frances Powell
Edmund Fairfax-Lucy,Alice Buchan
Hugo Grenville,Virginia Peto
Roger Wagner,Gillian Graham
Alice Westlake,Mary Samson
Eduard Hübner,Pauline Hübner
Douglas Anderson,Lady Flavia Giffard
Marmion Ferrers,Lady Harriet Townshend
Simon Brett,Bay Helen Brownell
Mary Elizabeth Haldane,Elizabeth Sanderson
Elizabeth Theresa Fox- Strangways,Mary Theresa Fox-Strangways, Countess of Ilchester
Edward Whittaker,Louise Jacinth Buxton
James Hugonin,Daphne Oldham
Edward Arthur Fellowes Prynne,Emily Fellowes
Mark Richard Myers,Leslie Annie Isabella Montfort
Elizabeth Marsh,Jean Eleanor Maud Agnew
Mildred Hussey,Henrietta Sarah Windsor-Clive
Evelyn Blacklock,Alice Mary Darby
Susan Beatrice Fripp,Jane Elizabeth Hammond
Mary Cowie Nichols,Juliana Luthman
Ella Mary Ffolliott Powell,Isabella Cooper
Anthony Edward George Baynes,Helen Mary Meredith
Francis Howard,Elizabeth Paschal O'Connor
Mary Charlotte Greene,Charlotte Smith
Elizabeth Thompson King,Elizabeth King
Emma Bulley,Jean Miller
Frederick Halford Coventry,Evangeline Rockel
Patrick Furse,Margaret Newbolt
John Dean Paul,Frances Snow
Ursula Edgcumbe,Frances Foley
Oldfield Bowles,Jane Clarke
Cecilia Legge,Josephine Makins
Carole Mary Page,Angela Mary Grotrian
Katharine Frances Clausen,Agnes Mary Webster
Cyrus Cuneo,Annie Cuneo
Walter Saunders Barnard,Hebe Barnard
Sir William Chatterton, 2nd Baronet,Rebecca Lane
Peter Samuelson,Evelyn Amy Akers-Douglas
Philip Jones,Audrey Marion Caroline Pepys
Percy Francis Gethin,Mabel Connellan
Charles Augustus Henry Lutyens,Frances Jane Fludger
Colin Thoms,Evelyn Charteris Black
Franz Gerasch,Antonia Geiger
Sophia Röntgen,Magdalene Gertrud Tischbein
Josefine Swoboda,Josefine Müller
William Wellington Powell,Frances Richmond
Philip Wolfhagen,Diana Wellesley Graves
Mary Louisa Adams Clement,Louisa Catherine Adams Johnson
Alice Jane Muskett,Phoebe Muskett
Thomas Gosse,Elizabeth Corbin
William James,Alice Gibbens James
Benjamin Smith Rotch,Anne Smith Rotch
Peter H. Begley,Sally Higginson
Pieter Raoux,Francisca Lagast
Wang Wen,Qian Shi
Eugen von Stieler,Josephine Stieler
Hans Deuvs,Marie Kirstine Jensen
Johannes Prinz von und zu Liechtenstein,Mária Gabriele Andrássy de Csíkszentkirály et Krasznahorka
Esther Barbara Bloemart,Anna Elisabeth Blommart
Alice Acheson,Jane C. Stanley
Keith Baynes,Margaretha Cazenove
Juliet Valpy,Catherine Jeffreys
Louis Poyet,Agathe Bernard
Armand-Étienne Corpet,Blanche Marie Valentine Vieilh de Boisjolin
Henry Greenough,Betsey Bender Greenough
Stephen Salisbury Tuckerman,Jane Francis Tuckerman
Fred W. Rose,Frances Walrond Roberts
Josep Barceló Moner,Matilde Moner
Christian Herbert, 6th Earl of Powis,Beatrice Williamson
Pamela Hart Brown Vinton Ravenel,Maria Eleanor Latrobe Vinton
John Lambert,Frances Lister
Pang Xunqin,Jin Zhinian
Kerstin Bergh-Bergman,Gerda Ingeborg Winkrans
Richard Desvallières,Marguerite Lefebvre
Waldemar Philippi,Helen Magruder
Erik Wessel-Fougstedt,Gerda Wessel
Francisco Maura y Montaner,Margarita Montaner Llampayes
Peter Richard Hoare,Frances Anne Acland
May Guinness,Mary Davis
George Hotham,Caroline Gee
Georgiana Klingle Holmes,Gay Robertson Bernard Tiernan
Susanne Granitsch,Auguste Granitsch
Helena Beatson,Jean Read
Irene Pijoan,Geneviève Bugnion
Fredrik Sinclair,Brita Magdalena Fock
Emma Smith,Emma Johnston
Harriet Woodley,Frances Payne
Francis Dunbar Marshall-Malagola,Alexandra Dunbar Marshall
Marcel Roll,Marie Roll
Pierre de Salis-Soglio,Cecile de Salis
Vojtěch Rada,Jarmila Radová
Alexander Wallace Rimington,Annette Hannah Cartwright
Ondřej Rada,Jarmila Radová
Nancy Cadogan,Lucy Dodd Ramberg
Pauline Thompson,Marie Gabrielle Buffett
Inge Lise Westman,Karen Marie Westman
Fredrique Modée,Ebba Ulrica Sparre
May Hallowell Loud,Anna Davis Hallowell
Anna M. Sands,Henrietta Maria French Sands
August Gerasch,Antonia Geiger
Antonio Nasini,Vittoria Bassi
Mary Ogden Abbott,Mary Adams Abbott
John Grant,Anne Oliphant
Zeng Minxing,Liu Shi
Esther Hope,Emily Studholme
Brita Christina Sparre,Augusta Törnflycht
Qi Yuanzuo,Zhang Shi
Ren Yuan,Wen Shi
Yu Tai,Hou Shi
Zhang He,Di Shi
Chang Lun,Zhang Shi
Yang Ning,Zhang Shi
Zhuang Chang,Ren Shi
Cui Xia,Li Furen
Zhao Mengkui,Zou Shi
Wang Jian,Li Shi
Zhang Sichang,Wen Shi
Qu Jun,Ye Shi
Lizinka Sörensen,Charlotta Antoinetta von Düben
Zhu Nanyong,Liu Shi
He Chunzhi,Sun Shi
Gu Dadian,Zhou Shi
Zhou Sijian,Yang Shi
Sarah Anne Freeman Clarke,Rebecca Parker Hull
Li Kaifang,Chen Shi
Apollonio Nasini,Elisabetta Neri
Constance Lascelles,Elizabeth de Burgh
Max Weiss,Henriette Weiss
Herbert Alexander,Mary Wilson
Mary Ellen Sigsbee Fischer,Eliza Rogers Lockwood Sigsbee
Francis Bartolozzi,Angustias Sánchez y García
Szymon Skirmunt,Konstancja Sulistrowska
Agathe Wachtmeister,Agata Bremer
Rok Zelenko,Sonja Rauter-Zelenko
Ann Wilson,Helen Ubinger
Elizabeth Evelyn Sutton,Ann Williams
Jozef Gezelle,Philomena De Smet
Louis Beyaert-Carlier,Marie Virginie Storie
Catherine Jeffreys,Sarah Gilder
Charles Oldfield Bowles,Mary Elton
Juan Amat,Teresa Pont i Augirot
George Inness Hartley,Helen Inness
Robert Beauchamp-Proctor,Anne Gregory
Enrico Crespi,Agnese Rusconi
Jakov Bararon,Rikica-Radmila Šlozberg
Anthony Law,Maud Audette
Édouard Onslow,unknown daughter Dutreuil
Flavia Blois,Winifred Grace Kennard
Magdalena Margareta Tischbein,Magdalene Gertrud Tischbein
Samuel Hone,Rebecca Brindley
William Stokes Hulton,Sarah Stokes Fletcher
Johannes Ludovicus Paulus Bosch van Drakenstein,Henrietta Carolina Paulina Cecilia Bosch van Drakestein
Nellie Marcia Lane Foster,Ellen Lane
Maria Elizabeth Podvinecz,Hermine Racz
Francis Swithin Anderton,Ruth Foster
Alice Foljambe,Susan Cavendish
Rupert Bathurst,Elizabeth Thompson
Peter John Norton,Margery Waterlow
Theo Chandos Hoskyns-Abrahall,Gertrude Kearsley
Aymon de Roussy de Sales,Reine Marie Tracy
Caroline Pole-Carew,Caroline Anne Lyttelton
Peter Mark Harrap,Elizabeth Helen Rodica Tilea
Emily Lawton Barnard,Sarah Ann Swete
Lancelot Bayly,Mary Anne Charlotte Barrington
Beatrice Caracciolo,Alesandra Cascone
Marie-Élise Larène,Marie-Paule Hardouin
Augustine Bourassa,Azélie Papineau
Otto Frommel,Henriette Frommel
Albert Wider,Maria Katharina Wider-Sieber
Simon Frederick Every,Penelope Mosley
Richard Field Maynard,Margaret Field Maynard
Lady Alicia Parsons,Alice Lloyd
Margaret Nash,Margaret Martin
Henry Mowbray Howard,Cecilia Howard
Benjamin Aylett Branfill,Anne Eliza Hammond
Angelo Fairfax Muckley,Mary Pardoe
Wilfred James Haughton,May Agnes Florence Henderson
Hildegarde Trevelyan,Frances Monahan
Jean Douglas Burns,Helen Jacqueline Hope
Raymond Gorges,Mary Kelly
John Christopher Granville Lioni,Margaret Evelyn Henrietta Waller
Vivian Desmond Ryan,Ellen Amelia Ellis
William H. Hopkins,Evereld Catherine Eliza Hustler
William Macdowall, 20th of Garthland,Isabella Peters
William Dorset Fellowes,Mary Butler
David Haughton,Pamela Jane Mathews Wigley
Florence Sabine Pasley,Katherine Grehan
Claire Wedgwood Lehmann,Kathleen Sehn
Glen Lloyd Robles,Esther Robles
Jeremy Hammick,Gillian Elizabeth Inchbald
Daniel Finch,Charlotte Finch
Antoinette Tassaert,Marie Edmée Moreau
Sophie Arnsburg,Marie Arnsburg
Rachel Hartley,Helen Inness
Eliška Nová,Eliška Kuchařová
Edith Blight Thompson,Nina Greenough
Maja Nagelowa,Hanka Nagelowa
Edward Caledon Bruce,Sidney Smith Bruce
Xie Jinglan,Yue Bichun
Lydia Smith Russell,Ann Otis Smith
Angelo Collen Hayter,Louisa Cauty
Francesco Mazzuoli,Faustina Castelli
Eliphalet Terry,Lydia Coit
Amy G. Chamberlin,Emily Goodall
Charlotte Lehmann,Katinka Lehmann
Eduard Pallavicini,Leopoldina, Gräfin Zichy de Zich et Vásonkeö
Justine Ayrer,Jeanne Louise Vaillet
Antonio Servillo,Maria Grazia Nappo
Charlotte Drayton Manigault,Hester Middleton
Richard Sachs,Johanna Sachs
Eva Dottern,Ida Andrea Cicilia Adler
Liselotte Moser,Adèle Coulin Weibel
Maria Tyzenhauz,Valeria Antonievna Vankovich
Hendrik van Loghem de Josselin de Jong,Maria Elisabeth van Loghem
Tommaso Nasini,Eufrasia Bassi
Sophie Madeleine du Pont,Sophie Madeline Dalmas du Pont
Giacomo Francesco Nasini,Eufrasia Bassi
Arad Thompson,Deborah Bryant Sturtevant Thompson
Nancy Tucker Wilson,Julia Gardiner Tyler Wilson
Marie Louise Adélaïde Redouté,Marie-Marthe Gobert
Laure Delvolvé,Lisbeth Delvolvé-Carrière
Elizabeth Nelson Fairchild,May Fairchild
Evžen Mirský,Regine Mirsky-Tauber
Anne Power Hardenbergh,Patia Power
Christian Qualtinger,Leomare Qualtinger
Lapo Simeoni,Carla Simeoni
Fifi Tamsir Niane,Hadja Aissatou Diallo
Sadoc Vazkez,Beatriz Pérez Reyes
Maria Johanna Hovy,Elisabeth van Vollenhoven
Roberta Imperatori,Maria Virginia Teodori
Frances Morris Orr,Charlotte Webster Humphrey
Gerrit Kwakkelstein,Cornelia Kwakkelstein-Verschoor
Ingegerd Aldar,Sofie Snekkenes
Mary Benjamin Rogers,Jane Miller Seymour
Abby Mason Brown,Alice Brown Mason
María Guadalupe Moncada y Berrio,Mariana de Berrio y de la Campa y Cos
Tang Luming,Dong Wanzhen
Marthe Esnée-Perrin,Alexandrine Louise Brinquant
James Manning Leonard,Mary Hall Leonard
James Lawrence Campbell,Alice Campbell
Thomas Elmstedt,Marie Nielsen Jelstrup
Öde Nerdrum,Turid Spildo
Barbara Goodhue Legler,Alice Fuller Goodhue
Katharina Duwe,Heilwig Ploog
Salvatore Maggiolo,Graziella Niccolai
Andrej Pibernik,Jolanda Pibernik
Herman Kristian Gjesdal,Gjorgine Torbjønsdatter
Lena Baurnfeind,Marie Baurnfeind
