Bob Dylan,Beatrice Stone
John Considine,Carmen Pantages
Rajiv Kapoor,Krishna Kapoor
Isabella Hervey,Yvonne Hervey, Marchioness of Bristol
Kay Hammond,Marie Barret
Kinvara Balfour,Tessa Balfour, Countess of Balfour
Joyce Grenfell,Nora Langhorne
Jose Collins,Lottie Collins
John Sayer Crawley,Hannah Elizabeth Carter
Frithiof Strömberg,Anna Martini
John Clark,Ethel Margaret Jensen
Jesse E. James,Zerelda Mimms
Jean St. Clair,Evelyn Mary Josephine Synnott
Jeremy Child,Sheila Mathewson
Jessie Bartlett Davis,Lucetta F. McKenna
Mille Schmidt,Gunborg Åkerblom
Lucy Peacock,Georgia Thorndike
Louisa Cranstoun Nisbett,Jane Williams
Jung Da-bin,Kim Kyung-sun
Sven-Erik Rolf,Margit Strugstad
Magnus Reinfeldt,Birgitta Reinfeldt
James Henry Hackett,Ann Keteltas
Mårten Larsson,Elin Larsson
Ingrid Boulting,Enid Boulting
Nils Jerring,Anna Malvina Karlsson
Merle Tottenham,Hilda May Fox
Melinda Marx,Kay Marvis
Johnny Tang Siu Chuen,Hong Jinmei
Pamela Stanley,Margaret Gordon
Rebecca Night,Ann Maguire
Philip Nozuka,Holly Sedgwick
Richard Lupino,Rose Jones
Robert Sedgwick,Patricia Rosenwald
Robert Munro, 14th Baron of Foulis,Catherine Mackenzie
Walter Belasco,Reina Nunes Martinez
Timothy Ackroyd,Jennifer Eileen McLeod Bishop
Tom Chadbon,Josie Y. Cook
Svein Tindberg,Inger Tindberg
Emmi Jurkka,Emma Tuominen
Arvi Tuomi,Emma Tuominen
Ronne Troup,Cynthia Hare
Sam Cowell,Maria Murray
Stephen Murray,Mabel Umfreville
Samuel Honywood,Wendy Young
Wiesław Nowicki,Sabina Nowicka
Diego Swing,Patricia Ho
Mikiko Tsubouchi,Namiko Kumoi
Rosamond Pinchot,Gertrude Minturn Pinchot
Eva Vrchlická,Ludmila Vrchlická
Walter Hamilton,Emma Pollock
Trey Smith,Sheree Zampino
William Warren,Esther Fortune
Julia Neilson,Emilie Davis
Sir Gyles Isham,Millicent Vaughan
George Meade Easby,Henrietta Easby
Jill O'Hara,Edith O'Hara
Lily Hanbury,Elisabeth Davis
Alice Orr-Ewing,Susannah Scott
Jeremy Brudenell,Mollie Rothwell
Charles Murray,Dorothy Webb
Lord James Douglas,Margaret Hamilton
Janet Alexander,Helen Kate Shuldham
Eric Maturin,Edith Emily Money
Ge Zhao'en,Jin Youzhuang
Taavi Eelmaa,Reet Eelmaa
Ruth Snellman,Aino Sibelius
Polly Adams,Jane Belson
Austin Swift,Andrea Finlay
Valter Tuomi,Emma Tuominen
Lytton Sothern,Frances Emily Stewart
Olivia Llewellyn,Vanessa Hubbard
Elizabeth Susan Douglas-Scott-Montagu,Lady Cecil Kerr
Emily Bevan,Anne Marie O'Connor
Sarah Lane,Sarah Fowles
Rosina Vokes,Sarah Wood
Ann Rork Light,Helen Welch
Harry Lambart,Catherine Gill
Milly Bergh,Julie Ihlen
William Leese,Mary Constance Hargreaves
Julia Hoyt,Sarah Guthrie Jewett
Clementine Hambro,Charlotte Soames
Dua Lipa,Anesa Lipa
Leopold Lažanský,Rosina von Mack
Frederick Howard,Margaret Leveson-Gower
Delaval Astley, 23rd Baron Hastings,Catherine Roseline Ratcliffe Hinton
Joshua Sasse,Mary Rosalind Macauley
Beatrice Forbes-Robertson Hale,Gertrude Forbes-Robertson
Lewis Strange Wingfield,Elizabeth Jocelyn
Harriet Siddons,Anne Acres
Olava Øverland,Anna Ims
Sarah Kaminsky,Leïla Kaminsky
Margaret Salinger,Claire Douglas
Iza Giełgud,Leontyna Aniela Aszperger
Ursula van Diemen,Olga van Diemen
Marguerite Tangye,Daphne Rachel Mulholland
Poppy Corby-Tuech,Catherine Campbell
Dora Tulloch,Kate Wentworth
Angelique Rockas,Stavroula Rockas
Charlotte Tiedemann,Luise Klein
Lilly Freud-Marlé,Maria Freud
Nina Sommerfelt,Anne Kristine Knudsen
Nick Vallelonga,Dolores Vallelonga
Cherry Hambro,Molly Green
Cho Hyun-chul,Ahn Il-soon
Amanda Elwes,Lorna Lyle
Lily Costner,Cindy Costner
Florence Fair,Margaret McElvain
Robert Harris,Suzanne Amèlie Anstie
Giovanni Morassutti,Sabine Piwko
Zeventine,Margreth Elfström
Jill Furse,Margaret Newbolt
Lois Sturt,Lady Feodorowna Yorke
Alice Vaughan, Countess of Carbery,Frances Stanley, Countess of Bridgewater
Fernando Peña Peña,Fernanda Peña Vargas
Soumaya Keynes,Zelfa Hourani
Helen Douglas-Scott-Montagu,Lady Cecil Kerr
Flo Irwin,Jane Draper Campbell
Veronica Vergara,Margarita Vergara Dávila De Vergara
Sir Anthony Hooper, 2nd Baronet,Eglantine Bland
Daniela Ibáñez,Nicole
Sylvia Storey,Lilian Margaret Thorley Holmes
Stanhope Wheatcroft,Adeline Aguilar
Tom Stourton,Margaret McEwen
Pandora Colin,Pamela Colin
Clarence Blakiston,Marie Simon
Merelina Kendall,Dorothy Merelina Louisa Dennis
Sophia Dawnay,Adrian Louise Hamilton
Nellie Chin Yu,Zhu Meijun
Julia Drake Fosdick Dean,Alexina Fisher Drake
Blanche Chapman,Julia Drake Chapman
Camilla Eibenschütz,Rosa Anna Therese Eibenschütz
Ingaret Giffard,Evelyn Alice Chambers
Jay Villiers,Elizabeth Barbara Hobbins
Felix Cecil Francis Drake,Edith Lloyd
Stefanie Michaela Sigrid Birgitta Prinzessin von Hohenzollern-Sigmaringen,Angela von Morgen
Georgie Drew Mendum,Louisa Drew
Benjamin Terry,Catherine Crawford
John Sinclair, 3rd Earl of Caithness,Margaret Keith
Tanit Lascelles,Lori Susan Lee
Cat Villiers,Elizabeth Barbara Hobbins
Rachael Catherine Heaton-Armstrong,Kathleen Idonea Cresswell Chance
James Andrew Crowe,Jane Dolores Auchmuty
Conrad Robin Asquith,Vivien Jones
Betty Isobel Crawford,Elizabeth Walker
Melissa Owen,Valerie Ethell
Alexander Drake,Alexina Fisher Drake
Sam Sothern,Frances Emily Stewart
Eva Sothern,Frances Emily Stewart
Adrian Johansson,Melanie Sloan
Hunter Johansson,Melanie Sloan
Xihuaru Kilcher,Saskia Kilcher
Ella Chapman,Julia Drake Chapman
Bertha Schemann,Bertha Schemann
William Winter Jefferson,Sarah Isabel Warren
Emily Millais,Mary Emily Evamy
Rain Winslow,Violette Selfridge de Sibour
Joseph Jefferson II,Euphemia Fortune
Joseph Jefferson Jr.,Sarah Isabel Warren
Art Garfunkel Jr.,Kim Garfunkel
Sadoc Vazkez,Beatriz Pérez Reyes
Fayne Strahan,Sarah H. Wilson
Ben Hendricks Jr.,Isabel Conway
Joseph P. Mack,Ermina Mignatti
Danny Gordon-Levitt,Vicenta Hinostroza
J.D. Witherspoon,Angela Robinson Witherspoon
Jeremy Gordon-Levitt,Vicenta Hinostroza
Melody Tan Tan Yip,Yip Siu-yin
Fifi Tamsir Niane,Hadja Aissatou Diallo
Mei-Mei Eskelund,Chi Yun Fei Eskelund
Dillon Evans,Kathleen Dillon
Chloe Armstrong,Chimene Diaz
Matthew Asner,Nancy Sykes
Olle Einarsson,Marie Lundberg
Michael Cudahy,Edna Margaret Cowin
Marie Bankert,Francine Bankert
Princess Indira Devi of Kapurthala,Brinda Devi
Edith Gordon,Rosa Lorch
